gender,emotion,labels,source,path,aug_type,aug_params
female,happy,3,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-03-02-01-02-06.wav,clean,
male,happy,3,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-03-01-02-02-17.wav,clean,
female,angry,5,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-05-02-01-02-16.wav,clean,
male,surprise,8,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-08-02-01-02-05.wav,clean,
male,surprise,8,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-08-01-02-02-03.wav,clean,
male,angry,5,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-05-02-02-01-01.wav,clean,
male,angry,5,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-05-02-01-02-01.wav,clean,
male,fear,6,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-06-01-02-02-11.wav,clean,
female,sad,4,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-04-01-01-02-10.wav,clean,
female,disgust,7,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-07-01-02-01-16.wav,clean,
male,disgust,7,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-07-01-01-01-13.wav,clean,
female,happy,3,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-03-01-02-01-08.wav,clean,
male,disgust,7,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-07-02-02-01-19.wav,clean,
male,sad,4,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-04-02-02-01-15.wav,clean,
female,fear,6,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-06-02-01-02-10.wav,clean,
male,happy,3,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-03-02-01-02-13.wav,clean,
female,disgust,7,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-07-02-02-02-24.wav,clean,
female,happy,3,RAVDESS,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/clean/train/audio/03-01-03-01-01-01-24.wav,clean,
