gender,emotion,labels,source,path
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a01.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a02.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a03.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a04.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a05.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a06.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a07.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a08.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a09.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a10.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a11.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a12.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a13.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a14.wav
male,angry,5,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_a15.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d01.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d02.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d03.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d04.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d05.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d06.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d07.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d08.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d09.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d10.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d11.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d12.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d13.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d14.wav
male,disgust,7,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_d15.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f01.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f02.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f03.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f04.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f05.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f06.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f07.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f08.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f09.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f10.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f11.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f12.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f13.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f14.wav
male,fear,6,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_f15.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h01.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h02.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h03.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h04.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h05.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h06.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h07.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h08.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h09.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h10.wav
male,happy,3,SAVEE,/content/drive/Shared drives/מבוא ללמידה עמוקה - DL/פרויקט/Datasets/SAVEE/Audio/DC_h11.wav
